"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji"
25385;"Liceum ogólnokształcące";"XXVI LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO";"ul. Wileńska";"22a ";" ";"94-029 ";Łódź-Polesie;24289;0958269;1061049;"426868615 ";" ";kontakt@lo26.elodz.edu.pl;http://www.lo26.pl;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"000731459 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Wiśniewska";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
90116;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE ""CENTRUM""";"ul. Gdańska";"156 ";" ";"90-536 ";Łódź-Polesie;05431;0958269;1061049;"426369102 ";" ";centrum.lodz@wp.pl;http://www.centrum.edu.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"101505472 ";" ";niepubliczna;"Dzieci lub młodzież";specjalna;;"REGION ZIEMIA ŁÓDZKA NSZZ ""SOLIDARNOŚĆ""";"Organizacje Związkowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2000-12-15;
128590;"Liceum ogólnokształcące";"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Wileńska";"53/55 ";" ";"94-011 ";Łódź-Polesie;24289;0958269;1061049;"426746988 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"362330748 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Edward Kujawa";"WYŻSZA SZKOŁA KOSMETYKI I NAUK O ZDROWIU";"Szkoły Wyższe Niepubliczne";ŁÓDZKIE;Łódź;Łódź-Polesie;2015-08-26;
25350;"Liceum ogólnokształcące";"XXI LICEUM OGÓLNOKSZTAŁCĄCE IM. BOLESŁAWA PRUSA";"ul. Mikołaja Kopernika";"2 ";" ";"90-509 ";Łódź-Polesie;09282;0958269;1061049;"426366854 ";" ";sekretariat@lo21.elodz.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"000731436 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Zaradzka-Cisek";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
31583;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE JOLANTY I JANA MISIAKÓW W ŁODZI";"al. ks. kard. Stefana Wyszyńskiego";"44 ";" ";"94-047 ";Łódź-Polesie;25112;0958269;1061049;"42686-82-83 ";" ";szkoly@lomisiak.edu.pl;http://www.lomisiak.edu.pl;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"101482707 ";"7271076817 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Jan Misiak";"JAN MISIAK";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź;1992-02-20;
59776;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W CENTRUM KSZTAŁCENIA USTAWICZNEGO IM. EWARYSTA ESTKOWSKIEGO W CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO";"ul. Stefana Żeromskiego";"115 ";" ";"90-542 ";Łódź-Polesie;26469;0958269;1061049;"426849195 ";" ";sekretariat@cez.lodz.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"473069301 ";" ";publiczna;Dorośli;"brak specyfiki";;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
272801;"Liceum ogólnokształcące";"NAZARET-LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Balonowa";"1 ";" ";"94-108 ";Łódź-Polesie;00642;0958269;1061049;" ";" ";info@fundacjafilome.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"384292605 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"ANNA POWIDEŁ";"FUNDACJA ""FILOME""";Fundacje;ŁÓDZKIE;Łódź;Łódź-Górna;2019-08-29;
126154;"Liceum ogólnokształcące";"LICEUM AKADEMICKIE AKADEMICKIEGO CENTRUM EDUKACYJNEGO - SPOŁECZNEJ AKADEMII NAUK W ŁODZI";"ul. Jana Kilińskiego";"98 ";" ";"90-012 ";Łódź-Śródmieście;08435;0958430;1061059;"426646694 ";"426366251 ";liceum@spoleczna.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"360162301 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Jerzy Prokopowicz";"SPOŁECZNA AKADEMIA NAUK";"Szkoły Wyższe Niepubliczne";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2014-09-26;
39108;"Liceum ogólnokształcące";"PUBLICZNE ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""COSINUS"" W ŁODZI";"ul. Wólczańska";"81 ";" ";"90-515 ";Łódź-Śródmieście;24797;0958430;1061059;"426325220 ";" ";lodz@cosinus.pl;http://www.cosinus.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101492249 ";"7261654939 ";publiczna;Dorośli;"brak specyfiki";"Marek Głowacki";"""FUNDACJA COSINUS EDUKACJA LO""";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2004-11-05;
17801;"Liceum ogólnokształcące";"AKADEMIA-LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W ŁODZI";"ul. Jana Kilińskiego";"21 ";" ";"90-205 ";Łódź-Śródmieście;08435;0958430;1061059;"422557700 ";" ";lodz@akademia-zdrowia.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101472028 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Karolina Kowalska";"AKADEMIA ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2012-09-19;
34929;"Liceum ogólnokształcące";"ATUT LIDER KSZTAŁCENIA LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W ŁODZI";"ul. Piotrkowska";"173 ";" ";"90-447 ";Łódź-Śródmieście;16308;0958430;1061059;"423070951 ";" ";lodz@atutszkola.pl;http://www.atutszkola.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101487231 ";"7251886909 ";niepubliczna;Dorośli;"brak specyfiki";"MAŁGORZATA LEWANDOWSKA";"LARAT LD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Wola;2005-07-28;
123045;"Liceum ogólnokształcące";"LICEUM  SPORTOWO-MUNDUROWE  CENTRUM EDUKACJI  OŚWIATOWIEC";"ul. Piotrkowska";"276 ";" ";"90-361 ";Łódź-Śródmieście;16308;0958430;1061059;"662904588 ";" ";info.oswiatowiec@gmail.com;http://www.oswiatowiec.com.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101775763 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Byczkowska";"MAGDALENA BYCZKOWSKA";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Polesie;2014-03-27;
31330;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH EDUKACJI INNOWACYJNEJ W ŁODZI";"ul. Rewolucji 1905 r.";"52 ";" ";"90-213 ";Łódź-Śródmieście;18637;0958430;1061059;"422995520 ";" ";ipsit@ipt.pl;http://www.szkola.ipt.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101485284 ";"7290109624 ";niepubliczna;Dorośli;"brak specyfiki";"Wioletta Kudzin";"INSTYTUT POSTĘPOWANIA TWÓRCZEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2012-07-25;
267638;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY ""COSINUS"" W ŁODZI";"ul. Wólczańska";"4a ";" ";"90-720 ";Łódź-Śródmieście;24797;0958430;1061059;"426325220 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"380449010 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA KOWALCZYK";"FUNDACJA RIDETON";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2018-06-04;
22525;"Liceum ogólnokształcące";"XII LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA WYSPIAŃSKIEGO";"al. Karola Anstadta";"7 ";" ";"91-409 ";Łódź-Śródmieście;27681;0958430;1061059;"426334082 ";" ";lo12@12lo.ehost.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"000731710 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"DOROTA BASNY";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
34911;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE UMIEJĘTNOŚCI TWÓRCZYCH";"ul. Rewolucji 1905 r.";"52G ";" ";"90-213 ";Łódź-Śródmieście;18637;0958430;1061059;"426315920 ";" ";lout@ipt.pl;http://www.lout.ipt.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101486728 ";"7290109624 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Wioletta Kudzin";"INSTYTUT POSTĘPOWANIA TWÓRCZEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1998-03-16;
29051;"Liceum ogólnokształcące";"PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""ALFA""";"ul. Pomorska";"16 ";" ";"91-408 ";Łódź-Śródmieście;17088;0958430;1061059;"426328238 ";" ";alfaschool@poczta.onet.pl;http://www.szkola-alfa.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101481470 ";"7251106001 ";niepubliczna;Dorośli;"brak specyfiki";"Iwona Miałkos";"Iwona Miałkos";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Bałuty;2004-11-17;
22523;"Liceum ogólnokształcące";"VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA ASNYKA";"ul. Pomorska";"105 ";" ";"90-225 ";Łódź-Śródmieście;17088;0958430;1061059;"426786522 ";"426790806 ";osemka@8lolodz.eu;http://www.8lolodz.edupage.org;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"000731703 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Panek";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
123939;"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ";"ul. Jana Matejki";"34a ";" ";"90-237 ";Łódź-Śródmieście;12489;0958430;1061059;"426356006 ";" ";interschool@interschool.uni.lodz.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101821776 ";" ";"niepubliczna bez uprawnień szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";;"BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2014-07-07;
25438;"Liceum ogólnokształcące";"XXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. HM. JANKA BYTNARA ""RUDEGO""";"ul. Aleksandra Zelwerowicza";"38/44 ";" ";"90-147 ";Łódź-Śródmieście;25996;0958430;1061059;"426789482 ";"426789482 ";lo29@szkoly.lodz.pl;http://www.lo29.szkoly.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"000731732 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Woźniakowska";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
29281;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""ŻAK""";"ul. Piotrkowska";"278 ";" ";"90-361 ";Łódź-Śródmieście;16308;0958430;1061059;"426834412 ";" ";lodz@zak.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101482179 ";"7292597869 ";niepubliczna;Dorośli;"brak specyfiki";"JULIANNA BAŃKOWSKA";"CENTRUM NAUKI I BIZNESU ""ŻAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Górna;2009-08-18;
263196;"Liceum ogólnokształcące";"PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE NOWOCZESNA EDUKACJA";"ul. Prezydenta Gabriela Narutowicza";"86 ";" ";"93-142 ";Łódź-Śródmieście;14019;0958430;1061059;"501863694 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"368118854 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Kamila White";"BEST EDU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Polesie;2017-08-04;
128597;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCACE DLA DOROSŁYCH SKK";"ul. Rewolucji 1905 r.";"65 ";" ";"90-221 ";Łódź-Śródmieście;18637;0958430;1061059;"791499600 ";" ";;http://www.skk.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"362330866 ";" ";niepubliczna;Dorośli;"brak specyfiki";"ANNA GLIŃSKA";"SKK SP. Z O.O.";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście;2015-08-07;
271611;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY ,,COSINUS I"" W ŁODZI";"ul. Wólczańska";"4a ";" ";"90-720 ";Łódź-Śródmieście;24797;0958430;1061059;"426325220 ";" ";m.mielczarek@cosinus.pl;http://www.cosinus.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"383450953 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA KOWALCZYK";"FUNDACJA RIDETON";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2019-05-27;
34927;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH PRZY CENTRUM EDUKACYJNO-DYDAKTYCZNYM ""OMEGA"" W ŁODZI";"al. marsz. Józefa Piłsudskiego";"12 ";" ";"90-051 ";Łódź-Śródmieście;16270;0958430;1061059;"426368999 ";" ";omega@szkolyomega.pl;http://www.szkolyomega.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"101487024 ";"7251928708 ";niepubliczna;Dorośli;"brak specyfiki";"Jadwiga Zawadzka";"OMEGA SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Widzew;2001-08-30;
22519;"Liceum ogólnokształcące";"III LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI";"ul. Henryka Sienkiewicza";"46 ";" ";"90-009 ";Łódź-Śródmieście;19834;0958430;1061059;"426332283 ";" ";kontakt@lo3.elodz.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"000731689 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Włodarczyk";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
22521;"Liceum ogólnokształcące";"IV LICEUM OGÓLNOKSZTAŁCĄCE IM. EMILII SCZANIECKIEJ";"ul. Pomorska";"16 ";" ";"91-416 ";Łódź-Śródmieście;17088;0958430;1061059;"426336293 ";"426336293 ";4liceum.lodz@wp.pl;http://www.4liceum.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"000830049 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Katarzyna Felde";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
272738;"Liceum ogólnokształcące";"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE EDUKACJI INNOWACYJNEJ W ŁODZI";"ul. dr. Seweryna Sterlinga";"26 ";" ";"90-212 ";Łódź-Śródmieście;21145;0958430;1061059;"422995518 ";" ";lout@ipt.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"384283279 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"PAULINA ADRYAŃCZYK-LINARD";"INSTYTUT POSTĘPOWANIA TWÓRCZEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2019-08-21;
273410;"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ";"ul. Pomorska";"149/153 ";" ";"90-236 ";Łódź-Śródmieście;17088;0958430;1061059;" ";" ";;http://www.interschool.uni.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Śródmieście - delegatura";"384466376 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MAGDALENA MATZ";"BRITISH INTERNATIONAL SCHOOL OF THE UNIVERSITY OF ŁÓDŹ SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2019-09-25;
30749;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH „DR PIONTEK"" W ŁODZI";"ul. Piotra Czajkowskiego";"14 ";" ";"92-511 ";Łódź-Widzew;03235;0958453;1061069;"426727490 ";" ";jerzy@piontek.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"101488118 ";"7691868778 ";niepubliczna;Dorośli;"brak specyfiki";"Jerzy Piontek";"JERZY PIONTEK";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Widzew;1996-06-11;
22518;"Liceum ogólnokształcące";"II LICEUM OGÓLNOKSZTAŁCĄCE IM. GABRIELA NARUTOWICZA";"ul. Nowa";"11/13 ";" ";"90-031 ";Łódź-Widzew;14330;0958453;1061069;"426741999 ";" ";lo2@szkoly.lodz.pl;http://lo2-lodz.edupage.org/;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"000732105 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jadwiga Ochocka";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
25401;"Liceum ogólnokształcące";"XXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. PROF. JÓZEFA TISCHNERA";"al. marsz. Józefa Piłsudskiego";"159 ";" ";"92-301 ";Łódź-Widzew;16270;0958453;1061069;"426745872 ";" ";lo23lodz@gmail.com;http://;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"000732111 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Makowska";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
27323;"Liceum ogólnokształcące";"XXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. HALINY POŚWIATOWSKIEJ W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1";"ul. Piotra Czajkowskiego";"14 ";" ";"92-511 ";Łódź-Widzew;03235;0958453;1061069;"426730125 ";" ";zsonr1a@widzew.net;http://;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"472892576 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
267033;"Liceum ogólnokształcące";"XI LICEUM OGÓLNOKSZTAŁCĄCE";"ul. dr. Stefana Kopcińskiego";"54 ";" ";"90-032 ";Łódź-Widzew;09257;0958453;1061069;"426747778 ";" ";11liceumlodz@wikom.pl;http://11liceumlodz.wikom.pl;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"369807596 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"BOGUSŁAW OLEJNICZAK";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2017-04-26;
25629;"Liceum ogólnokształcące";"XLIV LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Wacława";"22/24 ";" ";"93-118 ";Łódź-Widzew;23480;0958453;1061069;"422518005 ";" ";lo44lodz@o2.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"471029993 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Janusz Sapiński";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
27598;"Liceum ogólnokształcące";"XLVII LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA STASZICA";"ul. Stanisława Czernika";"1/3 ";" ";"92-538 ";Łódź-Widzew;03399;0958453;1061069;"426738683 ";" ";szkola@47lo.pl;http://www.47lo.pl;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"470909479 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"WOJCIECH ULATOWSKI";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
126304;"Liceum ogólnokształcące";"MIĘDZYNARODOWA SZKOŁA MISTRZOSTWA SPORTOWEGO LICEUM OGÓLNOKSZTAŁCĄCE EDUKACJA I SPORT";"ul. Stanisława Czernika";"1/3 ";" ";"92-538 ";Łódź-Widzew;03399;0958453;1061069;"509102740 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Widzew - delegatura";"360212430 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA DRABENT";"FUNDACJA  ""EDUKACJA I SPORT""";Fundacje;ŁÓDZKIE;Łódź;Łódź-Bałuty;2014-11-21;
